Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,Telefone,Morada,CódigoPostal,DataNascimento,Email
Iara-Petra Marques,Gestor de Projetos,Casado,Feminino,Santarém,Almeirim,913238355,"Alameda Bernardo Matos, 6
8777-479 Funchal",3684-897,13/12/2000,iara-petra.marques@outlook.com
Micael Sá,Designer Gráfico,Divorciado,Masculino,Porto,Valongo,954565660,"Largo Tomé Baptista, 36
2690-441 Torres Vedras",3792-771,24/08/1984,micael.sá@sapo.pt
Violeta Ramos,Psicólogo,Casado,Feminino,Braga,Celorico de Basto,944658545,"R. Ribeiro, 45
6933-418 Reguengos de Monsaraz",7528-953,01/05/2003,violeta.ramos@gmail.com
Íris Pacheco,Cozinheiro,Viúvo,Feminino,Porto,Felgueiras,943159365,"Largo António Ramos, 35
9579-973 Paços de Ferreira",2613-174,03/08/1966,íris.pacheco@sapo.pt
Naiara Baptista,Médico,Divorciado,Feminino,Porto,Vila Nova de Gaia,965488903,"Av Larissa Azevedo, 1
9930-595 Rebordosa",1714-169,19/11/1969,naiara.baptista@sapo.pt
Ângelo Neto,Gestor de Projetos,Casado,Masculino,Vila Real,Vila Real,988005939,"R. Emília Cardoso, 5
1587-980 Fundão",9598-146,13/04/1968,ângelo.neto@outlook.com
Matilde Matias,Carpinteiro,Casado,Feminino,Braga,Vila Nova de Famalicão,909944088,"R. de Azevedo, 97
2487-053 Gafanha da Nazaré",4503-537,04/01/1972,matilde.matias@outlook.com
Bruno Sá,Comerciante,Divorciado,Masculino,Évora,Estremoz,981461288,"Alameda Almeida, 46
5458-869 Seia",3005-540,19/06/1996,bruno.sá@gmail.com
Guilherme Azevedo,Agricultor,Divorciado,Masculino,Beja,Mértola,944859491,"Rua Sousa, 38
8103-163 Sines",8763-923,17/01/2003,guilherme.azevedo@outlook.com
Jéssica Fernandes,Gestor de Projetos,Casado,Feminino,Lisboa,Oeiras,903294900,"Av de Gustavo Eiffel, 78
6273-108 Seixal",7355-511,06/06/1992,jéssica.fernandes@outlook.com
Manuel Morais,Aposentado,Casado,Masculino,Braga,Esposende,989464030,"Largo Carminho Paiva, 99
3923-302 Mealhada",5603-988,12/02/1952,manuel.morais@hotmail.com
Gustavo Almeida,Rececionista,Solteiro,Masculino,Viana do Castelo,Arcos de Valdevez,974184192,"Av Padre Álvaro Proença, 2
5787-203 Vila do Conde",7894-749,06/09/1978,gustavo.almeida@sapo.pt
Sérgio Matos-Nascimento,Designer Gráfico,Solteiro,Masculino,Braga,Braga,919978265,"Praça Feia, 47
2334-640 Câmara de Lobos",0253-169,08/10/1982,sérgio.matos-nascimento@outlook.com
Gonçalo Mota,Estudante,Casado,Masculino,Santarém,Ourém,985823746,"R. Noa Alves, 65
3289-003 Montijo",5936-876,21/08/1945,gonçalo.mota@outlook.com
Carminho Pinto,Professor,Casado,Feminino,Braga,Amares,981757127,"Praça de Melo, 11
4301-386 Santa Cruz",5601-529,23/08/1967,carminho.pinto@gmail.com
Diana Silva-Ramos,Estudante,Solteiro,Feminino,Braga,Esposende,983395835,"Praça Bryan Vaz, S/N
9174-556 Matosinhos",1790-894,04/07/2007,diana.silva-ramos@gmail.com
Sandro Torres,Motorista,Divorciado,Masculino,Viana do Castelo,Valença,915775297,"Praça de Costa Cabral, 51
9654-380 São Salvador de Lordelo",0621-082,31/07/1988,sandro.torres@sapo.pt
Isaac Macedo,Agricultor,Divorciado,Masculino,Braga,Barcelos,963512090,"Largo de Figueiredo, 7
2611-089 Fiães",1305-514,24/06/1970,isaac.macedo@yahoo.com
Matias Castro,Médico,Casado,Masculino,Braga,Vizela,968428319,"Av Mara Assunção, 43
0763-751 Fundão",5360-415,08/01/2002,matias.castro@hotmail.com
Diogo Cunha,Agricultor,Casado,Masculino,Braga,Guimarães,995195627,"Rua do Brasil (Porto), 5
1076-461 Anadia",2262-190,17/12/1989,diogo.cunha@hotmail.com
Irina Pires,Técnico de Marketing,Solteiro,Feminino,Viana do Castelo,Monção,955622052,"Travessa de Domingues, 63
8526-150 Amadora",3156-636,15/12/1994,irina.pires@sapo.pt
Ariana Faria-Sousa,Agricultor,Casado,Feminino,Santarém,Alcanena,977770383,"Avenida Vasco Lopes, 6
3987-634 Santana",5242-068,20/02/1993,ariana.faria-sousa@gmail.com
Gaspar Cunha,Técnico de Marketing,Solteiro,Masculino,Braga,Fafe,977903731,"R. de Neves, 16
2450-623 Gandra",6925-189,09/11/1990,gaspar.cunha@yahoo.com
Lia Neves,Professor,Casado,Feminino,Braga,Braga,941914494,"Largo do Borratém, 4
6877-565 Santana",7237-280,10/02/1981,lia.neves@sapo.pt
Martim Loureiro,Professor,Solteiro,Masculino,Viana do Castelo,Vila Nova de Cerveira,958198332,"Avenida Marcos Machado, 2
0635-409 Santiago do Cacém",4807-062,08/03/1967,martim.loureiro@gmail.com
Fábio Andrade,Médico,Casado,Masculino,Porto,Santo Tirso,984714876,"Alameda das Fontainhas, 51
2005-869 Vale de Cambra",9103-457,20/11/1977,fábio.andrade@outlook.com
Edgar de Baptista,Agricultor,Solteiro,Masculino,Braga,Barcelos,972293411,"Largo Marta Nascimento, S/N
9237-373 Lisboa",6123-892,16/08/2002,edgar.baptista@outlook.com
Mélanie Melo,Carpinteiro,Solteiro,Feminino,Santarém,Tomar,929278289,"Av Mário Gonçalves, S/N
5942-804 Vila Real",4311-294,06/07/1997,mélanie.melo@yahoo.com
Catarina Neto,Farmacêutico,Viúvo,Feminino,Braga,Fafe,962376790,"Alameda Emília Cardoso, S/N
5336-463 Alverca do Ribatejo",8220-420,03/12/1993,catarina.neto@hotmail.com
Jorge Cunha,Eletricista,Solteiro,Masculino,Braga,Amares,990668991,"Largo de Fernandes, 51
1722-594 Faro",3050-863,19/04/2000,jorge.cunha@yahoo.com
Diogo Torres,Arquiteto,Solteiro,Masculino,Setúbal,Montijo,934337133,"Praça Rodrigo Amorim, 82
6043-563 Vila Nova de Santo André",8188-141,21/02/1984,diogo.torres@outlook.com
Luana-Rafaela Baptista,Técnico de Marketing,Casado,Feminino,Braga,Amares,989566435,"Avenida de Mota, 37
9587-301 Silves",9896-355,10/06/1978,luana-rafaela.baptista@outlook.com
Luciana Paiva-Mendes,Analista de Dados,Viúvo,Feminino,Aveiro,Águeda,927203329,"Praça Érica Castro, 36
0568-411 Lamego",4417-362,27/12/2000,luciana.paiva-mendes@yahoo.com
António Maia,Médico,Divorciado,Masculino,Braga,Braga,908068294,"Praça de Fontes Pereira de Melo, S/N
5883-575 Torres Novas",4635-552,27/07/1979,antónio.maia@sapo.pt
Alícia Araújo,Analista de Dados,Viúvo,Feminino,Porto,Santo Tirso,969406174,"Alameda Artur Agostinho, S/N
1074-705 São Mamede de Infesta",2786-057,27/08/1988,alícia.araújo@gmail.com
Gustavo Nascimento-Pinto,Enfermeiro,Viúvo,Masculino,Viana do Castelo,Monção,956039430,"Largo do Amazonas, 386
7795-333 Paredes",1208-481,28/10/1996,gustavo.nascimento-pinto@outlook.com
Luna Machado,Programador,Divorciado,Feminino,Castelo Branco,Belmonte,965469085,"Largo Clara Esteves, 1
8755-991 Peso da Régua",6656-051,31/03/1989,luna.machado@outlook.com
Rita Henriques,Arquiteto,Casado,Feminino,Braga,Barcelos,932194343,"R. Gonçalo Miranda, S/N
9032-050 Oliveira do Bairro",9994-717,11/09/1989,rita.henriques@hotmail.com
Naiara Figueiredo,Agricultor,Viúvo,Feminino,Braga,Amares,944379488,"Rua Ernesto Veiga de Oliveira, 50
6893-132 Vendas Novas",5165-227,14/11/1981,naiara.figueiredo@outlook.com
Lorena Assunção,Designer Gráfico,Viúvo,Feminino,Braga,Esposende,938856250,"Praça Machado, 420
2085-736 Gouveia",2704-680,30/07/1990,lorena.assunção@hotmail.com
Débora Amorim,Rececionista,Solteiro,Feminino,Porto,Póvoa de Varzim,956757218,"Rua da Universidade, 86
4231-505 Figueira da Foz",3978-057,06/10/1980,débora.amorim@sapo.pt
Leonardo Batista,Arquiteto,Casado,Masculino,Évora,Alandroal,993251063,"Avenida de Lopes, 7
1473-288 Santiago do Cacém",0029-758,01/02/1988,leonardo.batista@yahoo.com
Gabriel Nascimento,Gestor de Projetos,Casado,Masculino,Braga,Amares,938264729,"R. de Cruz, 668
1044-179 Santarém",1492-251,14/12/1997,gabriel.nascimento@sapo.pt
Vítor Castro,Engenheiro,Viúvo,Masculino,Braga,Celorico de Basto,993552335,"Alameda Gaspar, S/N
3278-546 Gondomar",9223-729,19/08/1974,vítor.castro@hotmail.com
Marta-Violeta Ribeiro,Comerciante,Divorciado,Feminino,Braga,Cabeceiras de Basto,956672966,"Avenida de Francos, 24
3100-932 Chaves",2492-814,05/12/1983,marta-violeta.ribeiro@yahoo.com
Artur Nogueira,Técnico de Marketing,Solteiro,Masculino,Braga,Barcelos,950381221,"Alameda Nádia Rocha, 139
6584-383 Caniço",1385-995,03/05/1992,artur.nogueira@hotmail.com
Kyara Lima,Professor,Viúvo,Feminino,Vila Real,Boticas,979737607,"Largo de Lopes, 8
9403-113 Anadia",8658-333,01/09/1986,kyara.lima@hotmail.com
Nelson Figueiredo,Médico,Viúvo,Masculino,Braga,Cabeceiras de Basto,929363993,"Travessa de Teixeira, 47
3747-278 Agualva-Cacém",3305-755,10/10/1980,nelson.figueiredo@outlook.com
Lara do Castro,Eletricista,Viúvo,Feminino,Braga,Barcelos,910028021,"Largo do Monte da Lapa, 1
8400-903 Montemor-o-Novo",2689-221,30/12/1980,lara.castro@yahoo.com
Diana Antunes,Agricultor,Solteiro,Feminino,Braga,Amares,979557968,"Largo de Machado, 71
5872-028 Tarouca",0307-924,10/12/1998,diana.antunes@outlook.com
Ângelo Andrade,Médico,Viúvo,Masculino,Braga,Esposende,923500606,"Largo de Maceda, 81
4752-701 Póvoa de Santa Iria",6716-607,27/09/1985,ângelo.andrade@sapo.pt
Carlota Matos,Motorista,Casado,Feminino,Lisboa,Amadora,994380228,"Rua Nunes, 83
5892-835 Porto",7057-810,29/02/1976,carlota.matos@yahoo.com
Erika do Pereira,Empregado de Limpeza,Viúvo,Feminino,Braga,Braga,908138930,"Alameda Álvaro Santos, 59
8673-896 Mirandela",4404-370,07/12/1983,erika.pereira@gmail.com
Larissa Sousa,Empregado de Limpeza,Divorciado,Feminino,Aveiro,Ovar,927212135,"Largo de Nogueira, 37
5858-802 Tavira",6855-621,06/11/1965,larissa.sousa@sapo.pt
Ariana Barros,Contabilista,Solteiro,Feminino,Bragança,Mirandela,946894757,"Travessa Matos, S/N
3420-999 Lagos",1172-761,07/09/1984,ariana.barros@outlook.com
Valentina Paiva,Contabilista,Solteiro,Feminino,Braga,Vizela,976761004,"Praça de Valente, 367
3549-450 Ílhavo",5213-208,05/09/1991,valentina.paiva@sapo.pt
Samuel Sá,Professor,Viúvo,Masculino,Braga,Celorico de Basto,927523166,"Rua do Barredo, 7
5969-037 Montijo",4196-848,24/03/1993,samuel.sá@gmail.com
Mélanie Matias,Programador,Casado,Feminino,Vila Real,Vila Pouca de Aguiar,972061968,"Alameda Marques, 43
2572-834 Seia",5620-242,16/01/1976,mélanie.matias@gmail.com
Lisandro Campos,Analista de Dados,Viúvo,Masculino,Lisboa,Cascais,924712345,"Praça de Lima, 468
7637-564 Lagoa",7671-201,31/08/1990,lisandro.campos@hotmail.com
Nair Fernandes,Eletricista,Casado,Feminino,Bragança,Vila Flor,906335550,"Alameda do Preto, S/N
4946-679 Marco de Canaveses",9373-293,29/05/1999,nair.fernandes@yahoo.com
Fábio Moura,Advogado,Divorciado,Masculino,Porto,Gondomar,903544266,"Alameda de S. Francisco de Borja, 83
8542-482 Praia da Vitória",6278-451,18/12/1965,fábio.moura@sapo.pt
Larissa do Almeida,Carpinteiro,Casado,Feminino,Porto,Póvoa de Varzim,902800451,"Avenida Iara Leite, 24
5134-284 Pinhel",2977-757,10/05/1966,larissa.almeida@sapo.pt
Isabel-Raquel Jesus,Motorista,Divorciado,Feminino,Braga,Barcelos,980715333,"Alameda Benjamim Azevedo, 33
9545-564 Elvas",4703-508,24/02/1970,isabel-raquel.jesus@sapo.pt
Bryan Pinho,Motorista,Viúvo,Masculino,Viana do Castelo,Arcos de Valdevez,957932235,"Travessa de Miranda, 90
8035-929 Penafiel",4504-138,17/01/1992,bryan.pinho@gmail.com
Mário do Batista,Rececionista,Casado,Masculino,Lisboa,Amadora,901755320,"Alameda Duarte Henriques, 4
5914-168 Cantanhede",8970-737,26/09/1992,mário.batista@hotmail.com
Camila Cruz,Designer Gráfico,Casado,Feminino,Lisboa,Oeiras,901989972,"Largo da Fonte da Moura, 902
8307-141 Loures",2457-326,25/02/1998,camila.cruz@outlook.com
Carminho Domingues-Nascimento,Rececionista,Viúvo,Feminino,Braga,Guimarães,928172879,"Travessa de Carneiro, 6
2165-925 Amarante",0048-454,08/04/1988,carminho.domingues-nascimento@gmail.com
Helena Soares,Contabilista,Divorciado,Feminino,Braga,Celorico de Basto,909011147,"Largo Ferreira, S/N
7965-707 Olhão",1365-022,16/12/1977,helena.soares@gmail.com
Carolina Cruz,Professor,Casado,Feminino,Aveiro,Murtosa,968363186,"Av de João Augusto Ribeiro, 88
6791-304 Esposende",1877-008,10/06/1969,carolina.cruz@sapo.pt
Daniel Melo,Eletricista,Casado,Masculino,Porto,Póvoa de Varzim,981326269,"Avenida Almeida, 91
8128-518 Fundão",7533-911,14/12/1978,daniel.melo@sapo.pt
Clara Mendes,Advogado,Casado,Feminino,Vila Real,Peso da Régua,964372448,"Avenida do Adamastor, 61
3971-825 Caldas da Rainha",1558-400,06/07/1986,clara.mendes@sapo.pt
Débora da Andrade,Técnico de Marketing,Solteiro,Feminino,Braga,Vila Nova de Famalicão,902023213,"R. de Rodrigues, 590
2325-166 Chaves",0448-759,18/08/1993,débora.andrade@yahoo.com
Flor Lima-Magalhães,Comerciante,Casado,Feminino,Porto,Maia,975552589,"Rua de Esteves, 699
0208-916 Alcácer do Sal",9939-983,14/07/1970,flor.lima-magalhães@gmail.com
Leonor Nascimento,Arquiteto,Divorciado,Feminino,Guarda,Guarda,956496562,"Avenida do Castelo do Queijo, 8
3101-025 Alcácer do Sal",6401-604,25/12/1996,leonor.nascimento@hotmail.com
Edgar Andrade,Professor,Viúvo,Masculino,Porto,Santo Tirso,976407098,"Largo Santos, S/N
0852-465 Castelo Branco",0935-685,11/03/1994,edgar.andrade@hotmail.com
Maria de Azevedo,Engenheiro,Solteiro,Feminino,Porto,Póvoa de Varzim,938595579,"Travessa Cardeal Cerejeira, 56
4260-295 Fátima",7097-428,13/09/1993,maria.azevedo@sapo.pt
Nuno Vieira-Miranda,Rececionista,Casado,Masculino,Porto,Matosinhos,975908385,"Av de Valente, 782
6513-853 Lagoa",7210-791,30/04/1976,nuno.vieira-miranda@outlook.com
Paulo Loureiro-Mendes,Enfermeiro,Viúvo,Masculino,Aveiro,Águeda,968866301,"R. Isabela Esteves, 26
0422-480 Alcobaça",6709-010,13/10/1970,paulo.loureiro-mendes@gmail.com
Tomás Torres-Valente,Carpinteiro,Viúvo,Masculino,Setúbal,Sesimbra,966805566,"Av de Almeida, 649
1632-675 Almada",6623-249,24/06/1966,tomás.torres-valente@sapo.pt
Maria Carvalho,Técnico de Marketing,Divorciado,Feminino,Braga,Braga,935940303,"Largo Nuno Vieira, 58
1172-490 Portalegre",1533-985,20/05/1970,maria.carvalho@yahoo.com
Ana da Guerreiro,Designer Gráfico,Casado,Feminino,Viana do Castelo,Ponte da Barca,962376031,"Largo de Paiva, 64
2348-780 Guarda",3427-216,17/12/1989,ana.guerreiro@sapo.pt
Júlia Monteiro,Farmacêutico,Divorciado,Feminino,Braga,Fafe,920587056,"Avenida de Gondomar, 24
2038-700 Gondomar",2304-622,20/10/2002,júlia.monteiro@yahoo.com
Lourenço Esteves,Carpinteiro,Divorciado,Masculino,Vila Real,Valpaços,950898760,"Travessa das Olaias, 651
0425-347 Viana do Castelo",2151-217,18/04/1980,lourenço.esteves@sapo.pt
Ismael Pinho,Professor,Solteiro,Masculino,Guarda,Figueira de Castelo Rodrigo,904160239,"R. da Pasteleira, 98
0780-237 Funchal",2212-504,26/02/2003,ismael.pinho@sapo.pt
Miguel Oliveira,Rececionista,Solteiro,Masculino,Braga,Celorico de Basto,911153477,"R. Lima, S/N
9974-321 Setúbal",6733-778,26/05/1973,miguel.oliveira@sapo.pt
Mário Paiva,Motorista,Viúvo,Masculino,Braga,Amares,911525233,"Avenida Érica Baptista, 44
8230-112 Alcobaça",5324-530,02/05/2004,mário.paiva@sapo.pt
Flor Sousa,Agricultor,Divorciado,Feminino,Braga,Cabeceiras de Basto,960061773,"Avenida de Antunes, 84
8723-700 Olhão",4331-332,08/09/1979,flor.sousa@gmail.com
Petra Reis,Técnico de Marketing,Viúvo,Feminino,Santarém,Almeirim,947087603,"R. de Pacheco, 728
6161-602 Fundão",5522-292,08/05/1987,petra.reis@outlook.com
David Abreu,Aposentado,Divorciado,Masculino,Aveiro,Ílhavo,905850571,"R. do Almirante Gago Coutinho, 86
1146-310 Agualva-Cacém",0821-530,22/06/1952,david.abreu@sapo.pt
Marta Baptista-Coelho,Professor,Solteiro,Feminino,Porto,Valongo,932012196,"Praça de Carvalho, 9
6311-713 Estremoz",8259-004,25/03/1981,marta.baptista-coelho@outlook.com
Mauro Valente,Enfermeiro,Viúvo,Masculino,Braga,Amares,996553780,"Travessa de Leal, S/N
2730-150 Fundão",4377-855,22/06/1976,mauro.valente@outlook.com
Vitória Melo,Psicólogo,Divorciado,Feminino,Braga,Esposende,991145911,"Av de Matos, 4
0711-469 Matosinhos",0345-898,22/11/1973,vitória.melo@gmail.com
Naiara Lopes,Gestor de Projetos,Casado,Feminino,Braga,Guimarães,997188466,"Alameda de Maia, 51
7750-467 Alcácer do Sal",6290-256,31/10/1987,naiara.lopes@yahoo.com
Bruno Guerreiro-Domingues,Programador,Divorciado,Masculino,Viana do Castelo,Monção,986955544,"Praça Nacional 108, 25
2909-534 Portimão",6221-041,02/08/1993,bruno.guerreiro-domingues@hotmail.com
Micael Matos-Pereira,Enfermeiro,Casado,Masculino,Santarém,Ourém,953135703,"R. de Loureiro, 9
5678-915 Sabugal",4675-987,15/08/1973,micael.matos-pereira@sapo.pt
Eduarda Teixeira,Designer Gráfico,Casado,Feminino,Vila Real,Chaves,939866353,"Largo do Marechal Gomes da Costa, S/N
8660-375 Setúbal",1069-159,24/05/1992,eduarda.teixeira@sapo.pt
Leonardo Martins,Estudante,Divorciado,Masculino,Braga,Amares,942955165,"Avenida Lucas Garcia, 99
6237-512 Viana do Castelo",3560-964,11/01/2009,leonardo.martins@yahoo.com
Nelson Coelho,Farmacêutico,Casado,Masculino,Braga,Guimarães,974190276,"Alameda Salvador Leite, 48
8513-391 Angra do Heroísmo",8424-764,20/10/1974,nelson.coelho@sapo.pt
Isaac Amorim,Psicólogo,Divorciado,Masculino,Porto,Matosinhos,948173445,"Praça Carolina Castro, 584
0377-148 Mealhada",7336-498,25/03/1989,isaac.amorim@sapo.pt
Mauro Lopes-Pinto,Técnico de Marketing,Viúvo,Masculino,Braga,Barcelos,982584887,"Alameda Maia, 64
6599-512 Queluz",6269-612,30/12/1977,mauro.lopes-pinto@sapo.pt
Júlia-Carolina Carneiro,Gestor de Projetos,Casado,Feminino,Braga,Braga,939083581,"Rua Henriques, 40
5742-195 Odivelas",6593-211,02/09/1971,júlia-carolina.carneiro@sapo.pt
Noa Guerreiro,Médico,Casado,Masculino,Braga,Cabeceiras de Basto,973285455,"Rua de Vasco da Gama, 879
0971-569 Beja",2892-681,23/08/2001,noa.guerreiro@outlook.com
Mário Neto,Programador,Viúvo,Masculino,Porto,Amarante,937063019,"Rua Tristão da Silva, 14
2627-388 Vendas Novas",3536-964,26/07/1967,mário.neto@gmail.com
Bruna Assunção-Pacheco,Eletricista,Divorciado,Feminino,Braga,Esposende,996713682,"Largo Alice Pereira, 6
2125-771 Peso da Régua",3015-465,20/07/1982,bruna.assunção-pacheco@hotmail.com
Adriana Lourenço-Domingues,Engenheiro,Viúvo,Feminino,Braga,Esposende,950160573,"Praça do Calvário, S/N
3094-865 Quarteira",4509-838,13/09/1984,adriana.lourenço-domingues@gmail.com
Gil Soares,Programador,Divorciado,Masculino,Braga,Amares,930524571,"Alameda Vera Vieira, S/N
9719-864 Entroncamento",1252-846,16/03/1968,gil.soares@outlook.com
Luís Brito,Advogado,Solteiro,Masculino,Viana do Castelo,Valença,944884325,"Alameda Ângelo Sá, 78
9846-868 Mangualde",0702-388,27/11/1965,luís.brito@outlook.com
António Vicente,Empregado de Limpeza,Viúvo,Masculino,Braga,Braga,976990193,"Travessa Alice Teixeira, 40
7678-640 Paços de Ferreira",2233-887,31/03/1981,antónio.vicente@yahoo.com
Sandro Baptista,Cozinheiro,Solteiro,Masculino,Leiria,Alvaiázere,976361704,"R. Anjos, 44
2844-707 Macedo de Cavaleiros",5577-385,30/01/1996,sandro.baptista@sapo.pt
Erika Vaz,Eletricista,Viúvo,Feminino,Porto,Porto,981387199,"Alameda Gaspar, 575
5407-860 Valongo",5841-510,28/04/1968,erika.vaz@sapo.pt
Tomás Gonçalves,Analista de Dados,Casado,Masculino,Vila Real,Boticas,948573391,"Travessa de Ferreira, 12
8433-264 Vila Real de Santo António",6132-654,10/05/1972,tomás.gonçalves@outlook.com
Rui Andrade-Tavares,Agricultor,Solteiro,Masculino,Lisboa,Odivelas,911926841,"Largo de Vicente, 803
3036-977 Amarante",7948-775,08/11/1965,rui.andrade-tavares@outlook.com
Filipa Neto,Engenheiro,Solteiro,Feminino,Vila Real,Valpaços,959700651,"Praça Vaz, 15
7364-114 Fátima",3733-280,03/10/2004,filipa.neto@sapo.pt
Afonso Ramos,Rececionista,Divorciado,Masculino,Lisboa,Alenquer,923348480,"Travessa de Lima, 36
5662-188 Serpa",9532-112,04/01/1993,afonso.ramos@hotmail.com
Leandro Nogueira,Farmacêutico,Casado,Masculino,Vila Real,Boticas,981782568,"Largo André Reis, S/N
6478-901 Gouveia",9377-290,04/09/1974,leandro.nogueira@gmail.com
Emanuel Macedo,Programador,Viúvo,Masculino,Braga,Amares,924970899,"Praça Professor Gonçalves Ferreira, 26
9987-930 Sabugal",8189-770,24/04/2000,emanuel.macedo@outlook.com
Adriana Monteiro,Advogado,,Feminino,Porto,Vila Nova de Gaia,,,4451-680,19/10/2002,adriana.monteiro@sapo.pt
Madalena-Marta Vaz,Agricultor,Divorciado,Feminino,Porto,Porto,921963689,"Travessa Pedro Costa, 79
5853-048 Lagoa",1035-862,18/06/1984,madalena-marta.vaz@yahoo.com
Gabriela Oliveira,Médico,Divorciado,Feminino,Porto,Porto,941136244,"Rua de Cruz, 797
8712-969 Tondela",8205-380,24/09/2004,gabriela.oliveira@outlook.com
Carolina Leal-Mendes,Aposentado,Solteiro,Feminino,Setúbal,Almada,963656386,"Alameda de Costa, 11
7565-886 Amadora",0675-267,21/09/1960,carolina.leal-mendes@hotmail.com
Íris Azevedo,Engenheiro,Viúvo,Feminino,Bragança,Bragança,916406758,"Avenida da Arrábida, 178
2926-702 Elvas",6429-311,13/10/1985,íris.azevedo@hotmail.com
Rúben Alves,Técnico de Marketing,Viúvo,Masculino,Vila Real,Vila Real,972640692,"Av do Adro, 824
4132-887 Fundão",6425-618,14/05/1998,rúben.alves@hotmail.com
Lia Maia,Farmacêutico,Viúvo,Feminino,Braga,Cabeceiras de Basto,998010148,"R. Joana Guerreiro, 97
4250-947 Amadora",7768-084,27/05/1987,lia.maia@yahoo.com
Larissa Pacheco,Estudante,Casado,Feminino,Braga,Esposende,912090724,"Largo de Nascimento, 51
0975-402 Funchal",8763-103,26/03/2009,larissa.pacheco@sapo.pt
Enzo Gonçalves,Programador,Solteiro,Masculino,Braga,Guimarães,951614684,"Alameda Denis Miranda, 47
4219-147 Abrantes",7317-919,02/04/1973,enzo.gonçalves@hotmail.com
Jaime Almeida,Técnico de Marketing,Viúvo,Masculino,Castelo Branco,Penamacor,981991262,"Rua Noah Assunção, 9
0022-791 Vila Nova de Santo André",2816-426,19/10/2002,jaime.almeida@yahoo.com
Lucas do Cruz,Agricultor,Solteiro,Masculino,Porto,Santo Tirso,922206796,"Travessa Pinho, 146
9266-824 Trancoso",3374-301,19/10/1988,lucas.cruz@outlook.com
Juliana Fonseca,Contabilista,Viúvo,Feminino,Braga,Fafe,957900877,"Praça Pinho, 57
2345-567 Reguengos de Monsaraz",6174-654,05/12/1995,juliana.fonseca@yahoo.com
Renato da Nascimento,Psicólogo,Solteiro,Masculino,Braga,Guimarães,968569887,"Travessa Carlota Henriques, 84
6222-236 Rio Maior",8905-872,26/11/1993,renato.nascimento@outlook.com
Letícia da Pinheiro,Cozinheiro,Casado,Feminino,Braga,Celorico de Basto,915159097,"Praça do Viso, 77
8255-561 Vila Real de Santo António",9233-709,15/03/1972,letícia.pinheiro@yahoo.com
Salvador Sousa-Morais,Carpinteiro,Divorciado,Masculino,Porto,Porto,961089711,"R. Alícia Oliveira, 8
1700-080 Ermesinde",0533-665,15/08/2002,salvador.sousa-morais@gmail.com
Madalena Figueiredo,Comerciante,Solteiro,Feminino,Braga,Vila Nova de Famalicão,974247825,"R. Afonso de Albuquerque, S/N
8455-476 Portalegre",3545-124,12/03/1992,madalena.figueiredo@gmail.com
Pedro Rodrigues-Soares,Advogado,Viúvo,Masculino,Porto,Valongo,964532214,"Largo Duarte Tavares, 4
9264-908 São João da Madeira",0736-681,02/10/1967,pedro.rodrigues-soares@sapo.pt
Gonçalo Martins,Comerciante,Viúvo,Masculino,Lisboa,Sintra,927140881,"Travessa Teixeira, 59
3744-414 Costa da Caparica",8861-281,22/03/1968,gonçalo.martins@outlook.com
Lara Brito,Engenheiro,Solteiro,Feminino,Porto,Maia,974889670,"Alameda do Beato, 50
2171-416 Alcácer do Sal",6833-854,23/07/1978,lara.brito@outlook.com
Isabel Andrade,Técnico de Marketing,Divorciado,Feminino,Porto,Amarante,926458275,"Alameda de Campos, S/N
8033-822 Amora",6373-883,01/06/1974,isabel.andrade@sapo.pt
Vicente Almeida,Arquiteto,Divorciado,Masculino,Vila Real,Vila Real,953056644,"Rua de Augusto Gomes, S/N
6488-453 Sines",6803-387,20/06/1997,vicente.almeida@sapo.pt
Lara Ferreira,Rececionista,Casado,Feminino,Braga,Esposende,907417498,"Praça Cunha, 38
6149-583 Torres Novas",2684-266,10/01/1986,lara.ferreira@sapo.pt
Valentina Amorim,Programador,Divorciado,Feminino,Braga,Fafe,954691228,"Alameda Nunes, S/N
4258-491 Rio Maior",0442-872,30/07/1993,valentina.amorim@sapo.pt
Leandro Rocha,Rececionista,Casado,Masculino,Vila Real,Sabrosa,967729713,"Largo Branco, 673
4914-716 Valpaços",9252-389,02/04/1971,leandro.rocha@gmail.com
Yasmin Garcia,Contabilista,Divorciado,Feminino,Castelo Branco,Belmonte,909478305,"Alameda Tavares, S/N
9445-985 Lamego",3591-774,09/12/1965,yasmin.garcia@hotmail.com
Andreia Campos,Agricultor,Divorciado,Feminino,Lisboa,Mafra,957987625,"Travessa de Silva, 44
8098-667 Marinha Grande",9380-306,01/01/1987,andreia.campos@hotmail.com
Júlia Vicente,Comerciante,Casado,Feminino,Santarém,Santarém,974452863,"Alameda Nunes, 50
9811-697 Fátima",7510-594,25/01/1975,júlia.vicente@sapo.pt
Ana Neto,Empregado de Limpeza,Viúvo,Feminino,Viana do Castelo,Monção,997920923,"Largo Manuel Nogueira, 61
9146-930 Tondela",2955-005,07/08/1966,ana.neto@gmail.com
Salomé Andrade,Gestor de Projetos,Viúvo,Feminino,Porto,Vila Nova de Gaia,943877098,"Avenida do Bicalho, 55
9422-651 Marinha Grande",8762-720,15/02/1987,salomé.andrade@outlook.com
