Nome,Profissão,EstadoCivil,Sexo,Distrito,Concelho,DataNascimento,Email,customer_id
Mélanie Silva,Arquiteto,Casado,Feminino,Porto,Matosinhos,08/03/1986,mélanie.silva@hotmail.com,C629
Igor Carvalho-Guerreiro,Agricultor,Solteiro,Masculino,Setúbal,Alcochete,03/01/1989,igor.carvalho-guerreiro@outlook.com,C630
William Morais,Engenheiro,Solteiro,Masculino,Braga,Fafe,26/03/1981,william.morais@hotmail.com,C631
Yara Antunes-Cruz,Gestor de Projetos,Casado,Feminino,Porto,Felgueiras,24/01/1970,yara.antunes-cruz@gmail.com,C632
Margarida-Margarida Garcia,Psicólogo,Viúvo,Feminino,Viana do Castelo,Monção,10/01/1979,margarida-margarida.garcia@outlook.com,C633
Bryan Anjos,Rececionista,Viúvo,Masculino,Braga,Barcelos,19/04/1997,bryan.anjos@outlook.com,C634
Camila Machado,Analista de Dados,Viúvo,Feminino,Viana do Castelo,Viana do Castelo,02/03/1977,camila.machado@hotmail.com,C635
Isabela-Vitória Anjos,Aposentado,Viúvo,Feminino,Lisboa,Amadora,21/09/1956,isabela-vitória.anjos@sapo.pt,C636
Jéssica Esteves,Psicólogo,Divorciado,Feminino,Braga,Guimarães,09/11/1994,jéssica.esteves@outlook.com,C637
Manuel Rocha,Comerciante,Viúvo,Masculino,Bragança,Alfândega da Fé,16/01/1966,manuel.rocha@sapo.pt,C638
António Cardoso,Carpinteiro,Casado,Masculino,Viana do Castelo,Viana do Castelo,09/11/1975,antónio.cardoso@outlook.com,C639
Isabel Vicente-Oliveira,Técnico de Marketing,Solteiro,Feminino,Aveiro,Murtosa,18/01/2003,isabel.vicente-oliveira@outlook.com,C640
Anita Sousa,Aposentado,Casado,Feminino,Braga,Amares,28/05/1945,anita.sousa@yahoo.com,C641
Patrícia Teixeira,Comerciante,Solteiro,Feminino,Braga,Esposende,12/10/1989,patrícia.teixeira@sapo.pt,C642
Alícia Ribeiro,Advogado,Viúvo,Feminino,Lisboa,Sintra,21/06/1991,alícia.ribeiro@yahoo.com,C643
Violeta Carneiro-Reis,Empregado de Limpeza,Solteiro,Feminino,Braga,Vizela,03/09/2001,violeta.carneiro-reis@outlook.com,C644
Sandro Valente,Estudante,Solteiro,Masculino,Braga,Barcelos,26/01/2009,sandro.valente@gmail.com,C645
Petra Teixeira,Empregado de Limpeza,Casado,Feminino,Braga,Braga,28/05/1969,petra.teixeira@sapo.pt,C646
Victória Araújo,Agricultor,Casado,Feminino,Faro,Lagoa,07/11/1987,victória.araújo@hotmail.com,C647
Filipa Alves-Amorim,Enfermeiro,Divorciado,Feminino,Braga,Amares,10/09/1991,filipa.alves-amorim@yahoo.com,C648
Emma Moreira,Programador,Viúvo,Feminino,Lisboa,Odivelas,27/05/1974,emma.moreira@outlook.com,C649
Amélia da Mendes,Gestor de Projetos,Divorciado,Feminino,Aveiro,Ílhavo,13/08/1995,amélia.mendes@sapo.pt,C650
Valentim Tavares,Aposentado,Divorciado,Masculino,Braga,Amares,10/03/1955,valentim.tavares@outlook.com,C651
Erica-Iara Baptista,Motorista,Solteiro,Feminino,Santarém,Tomar,02/10/1999,erica-iara.baptista@gmail.com,C652
Vasco do Castro,Designer Gráfico,Divorciado,Masculino,Santarém,Benavente,20/11/1984,vasco.castro@outlook.com,C653
Joel Valente-Miranda,Motorista,Viúvo,Masculino,Coimbra,Oliveira do Hospital,12/08/1976,joel.valente-miranda@outlook.com,C654
Constança-Carlota Sá,Agricultor,Solteiro,Feminino,Vila Real,Chaves,10/07/2000,constança-carlota.sá@hotmail.com,C655
Naiara Barros-Ribeiro,Farmacêutico,Casado,Feminino,Aveiro,Albergaria-a-Velha,21/12/1993,naiara.barros-ribeiro@outlook.com,C656
Tomé Macedo-Barros,Agricultor,Viúvo,Masculino,Bragança,Vimioso,13/12/1982,tomé.macedo-barros@outlook.com,C657
Victória Ferreira,Estudante,Divorciado,Feminino,Évora,Moura,20/08/2004,victória.ferreira@sapo.pt,C658
Letícia Freitas,Gestor de Projetos,Casado,Feminino,Viana do Castelo,Melgaço,24/01/1968,letícia.freitas@yahoo.com,C659
Isabel Miranda,Eletricista,Viúvo,Feminino,Porto,Póvoa de Varzim,15/10/1986,isabel.miranda@hotmail.com,C660
Nair-Daniela Faria,Motorista,Divorciado,Feminino,Braga,Fafe,23/05/1987,nair-daniela.faria@hotmail.com,C661
Ana do Maia,Designer Gráfico,Viúvo,Feminino,Braga,Esposende,13/09/1986,ana.maia@hotmail.com,C662
Xavier Valente,Programador,Casado,Masculino,Viana do Castelo,Caminha,03/05/1995,xavier.valente@outlook.com,C663
Inês Baptista,Comerciante,Divorciado,Feminino,Braga,Vizela,03/07/1999,inês.baptista@outlook.com,C664
Alexandre Gonçalves,Psicólogo,Solteiro,Masculino,Vila Real,Mesão Frio,21/07/1979,alexandre.gonçalves@sapo.pt,C665
Miguel da Cardoso,Professor,Divorciado,Masculino,Braga,Cabeceiras de Basto,13/10/1980,miguel.cardoso@hotmail.com,C666
Vitória Castro,Farmacêutico,Solteiro,Feminino,Aveiro,Aveiro,25/06/2003,vitória.castro@sapo.pt,C667
Íris Vicente,Estudante,Divorciado,Feminino,Porto,Matosinhos,23/07/2004,íris.vicente@hotmail.com,C668
Camila Gaspar,Comerciante,Solteiro,Feminino,Braga,Guimarães,14/12/2001,camila.gaspar@yahoo.com,C669
Nicole da Amorim,Farmacêutico,Divorciado,Feminino,Lisboa,Sintra,03/03/1997,nicole.amorim@hotmail.com,C670
Rafaela-Renata Leite,Professor,Divorciado,Feminino,Braga,Guimarães,15/09/1998,rafaela-renata.leite@yahoo.com,C671
Mélanie Martins-Lima,Técnico de Marketing,Casado,Feminino,Viana do Castelo,Valença,31/08/1997,mélanie.martins-lima@sapo.pt,C672
Simão Campos,Advogado,Viúvo,Masculino,Braga,Esposende,20/06/1978,simão.campos@sapo.pt,C673
Artur Castro-Azevedo,Empregado de Limpeza,Viúvo,Masculino,Braga,Amares,05/09/1998,artur.castro-azevedo@sapo.pt,C674
Lisandro Coelho-Esteves,Analista de Dados,Casado,Masculino,Porto,Matosinhos,25/02/1970,lisandro.coelho-esteves@outlook.com,C675
Luca Esteves,Comerciante,Casado,Masculino,Vila Real,Vila Real,18/07/2002,luca.esteves@sapo.pt,C676
Sofia Ferreira,Eletricista,Viúvo,Feminino,Braga,Celorico de Basto,26/12/1972,sofia.ferreira@gmail.com,C677
Lúcia Esteves,Comerciante,Solteiro,Feminino,Porto,Santo Tirso,04/06/1966,lúcia.esteves@yahoo.com,C678
Bárbara Baptista,Programador,Solteiro,Feminino,Lisboa,Loures,11/06/1996,bárbara.baptista@outlook.com,C679
Bruno Rodrigues-Araújo,Carpinteiro,Divorciado,Masculino,Porto,Valongo,09/06/1981,bruno.rodrigues-araújo@yahoo.com,C680
Lúcia Leite,Aposentado,Casado,Feminino,Lisboa,Mafra,12/03/1950,lúcia.leite@hotmail.com,C681
José Ribeiro,Empregado de Limpeza,Viúvo,Masculino,Bragança,Miranda do Douro,22/12/1965,josé.ribeiro@yahoo.com,C682
Filipe Abreu,Designer Gráfico,Casado,Masculino,Braga,Esposende,23/07/1994,filipe.abreu@outlook.com,C683
Eduarda Gomes,Carpinteiro,Solteiro,Feminino,Porto,Vila Nova de Gaia,09/02/1992,eduarda.gomes@sapo.pt,C684
Bryan Pinto,Contabilista,Solteiro,Masculino,Beja,Ourique,19/10/1980,bryan.pinto@outlook.com,C685
Hugo do Simões,Motorista,Divorciado,Masculino,Porto,Matosinhos,03/12/1966,hugo.simões@gmail.com,C686
Laura da Miranda,Advogado,Divorciado,Feminino,Porto,Amarante,06/11/1999,laura.miranda@yahoo.com,C687
Valentina Valente-Matias,Comerciante,Viúvo,Feminino,Braga,Amares,08/09/1982,valentina.valente-matias@outlook.com,C688
Luana Marques,Analista de Dados,Divorciado,Feminino,Aveiro,Ovar,11/12/1973,luana.marques@hotmail.com,C689
Cristiano Torres,Farmacêutico,Solteiro,Masculino,Viana do Castelo,Melgaço,01/11/1981,cristiano.torres@yahoo.com,C690
Fábio Simões,Cozinheiro,Casado,Masculino,Porto,Valongo,11/01/1995,fábio.simões@yahoo.com,C691
Kyara Torres,Professor,Divorciado,Feminino,Braga,Amares,10/07/1999,kyara.torres@yahoo.com,C692
Ema de Nogueira,Programador,Viúvo,Feminino,Vila Real,Boticas,07/04/1985,ema.nogueira@sapo.pt,C693
Ângela Torres,Psicólogo,Casado,Feminino,Lisboa,Alenquer,12/06/1966,ângela.torres@outlook.com,C694
Vitória Vicente,Estudante,Solteiro,Feminino,Viana do Castelo,Viana do Castelo,07/06/1973,vitória.vicente@gmail.com,C695
Erika-Patrícia Amaral,Professor,Viúvo,Feminino,Bragança,Vinhais,03/12/2004,erika-patrícia.amaral@outlook.com,C696
Violeta Nascimento,Carpinteiro,Casado,Feminino,Évora,Redondo,20/02/1984,violeta.nascimento@hotmail.com,C697
Henrique Branco,Professor,Divorciado,Masculino,Braga,Barcelos,25/05/1991,henrique.branco@hotmail.com,C698
Sofia Figueiredo,Enfermeiro,Divorciado,Feminino,Setúbal,Almada,30/12/1973,sofia.figueiredo@yahoo.com,C699
Lara Batista,Motorista,Divorciado,Feminino,Braga,Celorico de Basto,27/12/1992,lara.batista@hotmail.com,C700
Ivan Assunção-Sousa,Enfermeiro,Viúvo,Masculino,Viseu,Nelas,21/09/1985,ivan.assunção-sousa@yahoo.com,C701
Amélia Antunes,Analista de Dados,Casado,Feminino,Évora,Estremoz,27/09/1995,amélia.antunes@yahoo.com,C702
Eduardo Branco-Tavares,Advogado,Casado,Masculino,Porto,Maia,01/10/1992,eduardo.branco-tavares@yahoo.com,C703
Mário Rocha,Motorista,Solteiro,Masculino,Braga,Celorico de Basto,14/08/1988,mário.rocha@yahoo.com,C704
Carolina Gomes,Psicólogo,Solteiro,Feminino,Viana do Castelo,Valença,04/03/1980,carolina.gomes@sapo.pt,C705
Larissa-Ângela Baptista,Analista de Dados,Casado,Feminino,Braga,Guimarães,21/04/1982,larissa-ângela.baptista@gmail.com,C706
Leonardo de Domingues,Professor,Casado,Masculino,Porto,Maia,14/02/1966,leonardo.domingues@yahoo.com,C707
Tomás Pinho,Motorista,Casado,Masculino,Lisboa,Oeiras,18/01/1983,tomás.pinho@outlook.com,C708
Guilherme Gonçalves,Carpinteiro,Viúvo,Masculino,Aveiro,Albergaria-a-Velha,13/01/1996,guilherme.gonçalves@outlook.com,C709
Andreia Simões-Borges,Motorista,Viúvo,Feminino,Braga,Esposende,09/01/1969,andreia.simões-borges@gmail.com,C710
Madalena Sousa,Comerciante,Viúvo,Feminino,Porto,Matosinhos,07/02/1992,madalena.sousa@yahoo.com,C711
Bryan Correia,Estudante,Divorciado,Masculino,Braga,Amares,23/05/2001,bryan.correia@yahoo.com,C712
Renata Moreira,Arquiteto,Viúvo,Feminino,Vila Real,Chaves,28/08/1973,renata.moreira@yahoo.com,C713
Leonardo Vieira,Empregado de Limpeza,Divorciado,Masculino,Porto,Santo Tirso,22/12/1965,leonardo.vieira@outlook.com,C714
Bruna Matias,Advogado,Divorciado,Feminino,Lisboa,Amadora,21/12/1988,bruna.matias@yahoo.com,C715
Nair Magalhães,Enfermeiro,Solteiro,Feminino,Braga,Amares,27/06/1968,nair.magalhães@hotmail.com,C716
Kévim Araújo,Agricultor,Casado,Masculino,Braga,Vila Nova de Famalicão,07/08/2003,kévim.araújo@gmail.com,C717
Vitória Simões,Contabilista,Solteiro,Feminino,Viana do Castelo,Arcos de Valdevez,23/07/1986,vitória.simões@outlook.com,C718
Violeta do Nascimento,Técnico de Marketing,Solteiro,Feminino,Viana do Castelo,Viana do Castelo,21/12/1996,violeta.nascimento@gmail.com,C719
António da Valente,Motorista,Casado,Masculino,Porto,Vila Nova de Gaia,11/09/1986,antónio.valente@yahoo.com,C720
Fernando Barbosa,Técnico de Marketing,Divorciado,Masculino,Braga,Celorico de Basto,21/05/1975,fernando.barbosa@sapo.pt,C721
Marcos Moura,Arquiteto,Solteiro,Masculino,Viseu,Tondela,07/10/1972,marcos.moura@sapo.pt,C722
Rui da Jesus,Médico,Divorciado,Masculino,Braga,Vizela,19/09/1971,rui.jesus@sapo.pt,C723
Soraia Araújo,Eletricista,Casado,Feminino,Porto,Felgueiras,22/01/2001,soraia.araújo@outlook.com,C724
Kévim Pinheiro,Farmacêutico,Divorciado,Masculino,Vila Real,Alijó,14/01/1984,kévim.pinheiro@gmail.com,C725
Ricardo Torres,Engenheiro,Divorciado,Masculino,Porto,Porto,08/02/1989,ricardo.torres@outlook.com,C726
Vítor Santos,Empregado de Limpeza,Solteiro,Masculino,Bragança,Vinhais,31/07/1972,vítor.santos@hotmail.com,C727
Juliana Gaspar,Agricultor,Solteiro,Feminino,Vila Real,Sabrosa,22/06/1993,juliana.gaspar@sapo.pt,C728
Bianca Cardoso-Torres,Rececionista,Casado,Feminino,Lisboa,Mafra,30/09/1991,bianca.cardoso-torres@hotmail.com,C729
Flor Vicente,Designer Gráfico,Casado,Feminino,Viana do Castelo,Ponte da Barca,25/06/1997,flor.vicente@yahoo.com,C730
Francisco Valente,Contabilista,Solteiro,Masculino,Lisboa,Lisboa,24/06/1996,francisco.valente@sapo.pt,C731
Alice Alves,Professor,Viúvo,Feminino,Braga,Barcelos,18/07/1978,alice.alves@gmail.com,C732
Igor Cunha,Analista de Dados,Divorciado,Masculino,Viana do Castelo,Caminha,29/04/1970,igor.cunha@outlook.com,C733
Denis Amorim,Arquiteto,Solteiro,Masculino,Setúbal,Seixal,23/02/1997,denis.amorim@yahoo.com,C734
Valentina do Lourenço,Psicólogo,Solteiro,Feminino,Braga,Fafe,12/03/1968,valentina.lourenço@gmail.com,C735
Rafael Cruz,Gestor de Projetos,Solteiro,Masculino,Braga,Esposende,20/11/1994,rafael.cruz@sapo.pt,C736
Patrícia Figueiredo-Baptista,Técnico de Marketing,Casado,Feminino,Vila Real,Peso da Régua,06/09/1990,patrícia.figueiredo-baptista@sapo.pt,C737
Fabiana Almeida,Estudante,Viúvo,Feminino,Viseu,Viseu,20/12/2005,fabiana.almeida@outlook.com,C738
Marta Lopes,Psicólogo,Divorciado,Feminino,Braga,Barcelos,18/09/1999,marta.lopes@hotmail.com,C739
Beatriz-Catarina Lopes,Analista de Dados,Casado,Feminino,Porto,Póvoa de Varzim,25/10/1978,beatriz-catarina.lopes@yahoo.com,C740
Kevin Coelho,Psicólogo,Casado,Masculino,Viseu,Oliveira de Frades,23/07/1992,kevin.coelho@hotmail.com,C741
Emanuel Moura,Médico,Divorciado,Masculino,Braga,Fafe,25/02/1983,emanuel.moura@sapo.pt,C742
Gil do Esteves,Advogado,Divorciado,Masculino,Braga,Vizela,22/11/1979,gil.esteves@outlook.com,C743
Núria Simões,Empregado de Limpeza,Casado,Feminino,Vila Real,Boticas,23/07/1984,núria.simões@gmail.com,C744
Emanuel Melo,Advogado,Divorciado,Masculino,Vila Real,Alijó,10/06/1967,emanuel.melo@hotmail.com,C745
Cláudio Costa,Engenheiro,Casado,Masculino,Vila Real,Chaves,09/01/1987,cláudio.costa@outlook.com,C746
Mara Pinto-Moura,Empregado de Limpeza,Divorciado,Feminino,Porto,Póvoa de Varzim,24/10/2001,mara.pinto-moura@yahoo.com,C747
Sandro Tavares,Estudante,Casado,Masculino,Aveiro,Oliveira de Azeméis,17/07/2008,sandro.tavares@outlook.com,C748
David Moura,Técnico de Marketing,Divorciado,Masculino,Lisboa,Loures,04/08/1984,david.moura@outlook.com,C749
Carolina Castro,Rececionista,Solteiro,Feminino,Lisboa,Mafra,26/05/1984,carolina.castro@gmail.com,C750
Bruna Vaz,Designer Gráfico,Casado,Feminino,Braga,Cabeceiras de Basto,07/12/1976,bruna.vaz@outlook.com,C751
Erika Cunha-Costa,Carpinteiro,Divorciado,Feminino,Braga,Fafe,20/08/1987,erika.cunha-costa@sapo.pt,C752
Érica-Matilde Coelho,Rececionista,Divorciado,Feminino,Coimbra,Condeixa-a-Nova,05/04/1971,érica-matilde.coelho@sapo.pt,C753
Valentim Silva,Advogado,Casado,Masculino,Braga,Braga,25/09/1980,valentim.silva@hotmail.com,C754
Miriam Jesus,Empregado de Limpeza,Solteiro,Feminino,Porto,Santo Tirso,21/05/1971,miriam.jesus@hotmail.com,C755
Iara Macedo,Estudante,Solteiro,Feminino,Braga,Braga,12/11/2007,iara.macedo@outlook.com,C756
Emma Brito,Enfermeiro,Divorciado,Feminino,Bragança,Macedo de Cavaleiros,02/01/1995,emma.brito@yahoo.com,C757
Rita Reis-Soares,Psicólogo,Viúvo,Feminino,Porto,Maia,18/02/1979,rita.reis-soares@outlook.com,C758
Letícia Gonçalves,Técnico de Marketing,Divorciado,Feminino,Braga,Vila Nova de Famalicão,21/03/1972,letícia.gonçalves@hotmail.com,C759
Nuno Batista-Rodrigues,Enfermeiro,Viúvo,Masculino,Lisboa,Lisboa,05/03/1997,nuno.batista-rodrigues@hotmail.com,C760
Ismael Abreu,Cozinheiro,Solteiro,Masculino,Viseu,Viseu,09/08/1980,ismael.abreu@sapo.pt,C761
Igor Branco,Engenheiro,Solteiro,Masculino,Braga,Fafe,25/03/1970,igor.branco@gmail.com,C762
Bruna-Rita Pacheco,Enfermeiro,Divorciado,Feminino,Viana do Castelo,Valença,09/01/1972,bruna-rita.pacheco@outlook.com,C763
Vera-Francisca Guerreiro,Aposentado,Solteiro,Feminino,Porto,Maia,03/03/1946,vera-francisca.guerreiro@hotmail.com,C764
Lisandro Garcia,Farmacêutico,Divorciado,Masculino,Porto,Gondomar,16/07/1986,lisandro.garcia@gmail.com,C765
Inês Pacheco,Gestor de Projetos,Solteiro,Feminino,Braga,Vizela,15/11/1999,inês.pacheco@hotmail.com,C766
Vasco Sousa,Programador,Solteiro,Masculino,Braga,Fafe,13/04/1973,vasco.sousa@hotmail.com,C767
João Fernandes,Arquiteto,Casado,Masculino,Braga,Amares,16/03/1982,joão.fernandes@outlook.com,C768
Pedro Cunha,Engenheiro,Divorciado,Masculino,Aveiro,Albergaria-a-Velha,04/09/1990,pedro.cunha@hotmail.com,C769
Adriana Barros,Aposentado,Divorciado,Feminino,Vila Real,Valpaços,07/03/1948,adriana.barros@yahoo.com,C770
Isabela-Margarida Barros,Arquiteto,Divorciado,Feminino,Castelo Branco,Idanha-a-Nova,01/10/1974,isabela-margarida.barros@gmail.com,C771
Diana-Alexandra Reis,Analista de Dados,Casado,Feminino,Braga,Vizela,18/03/1990,diana-alexandra.reis@outlook.com,C772
Tatiana Soares,Psicólogo,Divorciado,Feminino,Lisboa,Cascais,28/12/1973,tatiana.soares@hotmail.com,C773
Carlos Nascimento,Carpinteiro,Solteiro,Masculino,Braga,Esposende,22/10/1973,carlos.nascimento@sapo.pt,C774
Jorge Paiva,Estudante,Divorciado,Masculino,Porto,Vila Nova de Gaia,02/12/2004,jorge.paiva@yahoo.com,C775
Andreia Abreu,Carpinteiro,Viúvo,Feminino,Leiria,Marinha Grande,15/09/1998,andreia.abreu@gmail.com,C776
Emma Gonçalves,Estudante,Casado,Feminino,Braga,Celorico de Basto,10/02/2008,emma.gonçalves@yahoo.com,C777
Kelly Leal,Contabilista,Divorciado,Feminino,Braga,Fafe,06/08/1981,kelly.leal@outlook.com,C778
Vitória-Ângela Nascimento,Agricultor,Divorciado,Feminino,Braga,Vila Nova de Famalicão,08/09/1981,vitória-ângela.nascimento@outlook.com,C779
Bianca Pinheiro,Cozinheiro,Divorciado,Feminino,Viana do Castelo,Caminha,17/11/1983,bianca.pinheiro@yahoo.com,C780
Vitória Reis,Gestor de Projetos,Casado,Feminino,Porto,Felgueiras,08/10/1989,vitória.reis@hotmail.com,C781
Kevin Jesus,Gestor de Projetos,Divorciado,Masculino,Braga,Braga,20/03/1999,kevin.jesus@yahoo.com,C782
Pilar Matias,Gestor de Projetos,Viúvo,Feminino,Viana do Castelo,Ponte de Lima,04/06/1970,pilar.matias@gmail.com,C783
Luca Pinheiro,Agricultor,Divorciado,Masculino,Porto,Valongo,28/07/1988,luca.pinheiro@sapo.pt,C784
Juliana de Nogueira,Agricultor,Viúvo,Feminino,Braga,Amares,04/03/1980,juliana.nogueira@sapo.pt,C785
Diogo Barros,Enfermeiro,Casado,Masculino,Braga,Guimarães,08/09/1967,diogo.barros@yahoo.com,C786
Vera Cunha-Morais,Motorista,Divorciado,Feminino,Braga,Esposende,05/06/1991,vera.cunha-morais@sapo.pt,C787
Anita Rodrigues,Eletricista,Solteiro,Feminino,Porto,Valongo,28/05/1991,anita.rodrigues@sapo.pt,C788
Fábio Gaspar-Tavares,Carpinteiro,Casado,Masculino,Vila Real,Mesão Frio,23/04/1982,fábio.gaspar-tavares@sapo.pt,C789
Fernando Neves,Motorista,Solteiro,Masculino,Coimbra,Figueira da Foz,25/09/1972,fernando.neves@sapo.pt,C790
Luciana Carneiro,Enfermeiro,Solteiro,Feminino,Guarda,Celorico da Beira,13/07/1966,luciana.carneiro@outlook.com,C791
Camila Fernandes,Analista de Dados,Divorciado,Feminino,Santarém,Santarém,12/01/1969,camila.fernandes@gmail.com,C792
Mário Nascimento,Programador,Casado,Masculino,Vila Real,Peso da Régua,01/02/1977,mário.nascimento@outlook.com,C793
Gonçalo Santos,Programador,Solteiro,Masculino,Braga,Cabeceiras de Basto,16/06/1981,gonçalo.santos@hotmail.com,C794
António Sousa,Rececionista,Solteiro,Masculino,Braga,Fafe,08/09/1968,antónio.sousa@outlook.com,C795
Patrícia Carvalho,Médico,Casado,Feminino,Aveiro,Santa Maria da Feira,05/11/2003,patrícia.carvalho@hotmail.com,C796
Larissa-Gabriela Matos,Empregado de Limpeza,Viúvo,Feminino,Braga,Cabeceiras de Basto,16/07/1979,larissa-gabriela.matos@yahoo.com,C797
Valentina Machado,Médico,Casado,Feminino,Vila Real,Vila Pouca de Aguiar,03/01/1997,valentina.machado@gmail.com,C798
Rúben Leal,Arquiteto,Casado,Masculino,Portalegre,Crato,30/09/1984,rúben.leal@sapo.pt,C799
Ema do Valente,Analista de Dados,Divorciado,Feminino,Braga,Esposende,27/11/1999,ema.valente@yahoo.com,C800
Alexandre Brito,Advogado,Casado,Masculino,Vila Real,Mesão Frio,12/10/1998,alexandre.brito@sapo.pt,C801
Tiago Machado,Estudante,Solteiro,Masculino,Vila Real,Alijó,23/06/2001,tiago.machado@gmail.com,C802
Denis Leal,Agricultor,Solteiro,Masculino,Viana do Castelo,Monção,01/05/1977,denis.leal@outlook.com,C803
Sandro Pacheco,Contabilista,Casado,Masculino,Porto,Póvoa de Varzim,27/10/1999,sandro.pacheco@hotmail.com,C804
Mafalda Amaral,Programador,Solteiro,Feminino,Santarém,Almeirim,13/12/1986,mafalda.amaral@sapo.pt,C805
Sérgio Amaral,Eletricista,Divorciado,Masculino,Braga,Cabeceiras de Basto,28/10/1992,sérgio.amaral@yahoo.com,C806
Yara Domingues,Farmacêutico,Solteiro,Feminino,Aveiro,Ílhavo,06/02/1975,yara.domingues@gmail.com,C807
Marcos Figueiredo,Técnico de Marketing,Divorciado,Masculino,Viana do Castelo,Caminha,15/10/1972,marcos.figueiredo@yahoo.com,C808
Tatiana Miranda,Programador,Divorciado,Feminino,Porto,Póvoa de Varzim,25/05/2004,tatiana.miranda@sapo.pt,C809
Ivo da Pinto,Psicólogo,Casado,Masculino,Lisboa,Lisboa,31/12/1991,ivo.pinto@gmail.com,C810
Valentina Magalhães,Técnico de Marketing,Viúvo,Feminino,Braga,Vizela,06/05/1979,valentina.magalhães@sapo.pt,C811
Nicole Garcia,Farmacêutico,Viúvo,Feminino,Braga,Vizela,09/11/2000,nicole.garcia@sapo.pt,C812
Frederico Miranda,Comerciante,Divorciado,Masculino,Bragança,Mogadouro,28/12/1976,frederico.miranda@hotmail.com,C813
Kyara Paiva-Carvalho,Aposentado,Solteiro,Feminino,Aveiro,Estarreja,31/08/1955,kyara.paiva-carvalho@yahoo.com,C814
Alexandre Domingues,Motorista,Viúvo,Masculino,Aveiro,Albergaria-a-Velha,02/07/1985,alexandre.domingues@outlook.com,C815
Helena Esteves,Professor,Solteiro,Feminino,Braga,Cabeceiras de Basto,09/07/1965,helena.esteves@hotmail.com,C816
Lia Figueiredo,Carpinteiro,Divorciado,Feminino,Vila Real,Mondim de Basto,21/07/1992,lia.figueiredo@hotmail.com,C817
Tomás Pinho,Professor,Casado,Masculino,Aveiro,Ovar,21/08/1995,tomás.pinho614@outlook.com,C818
Margarida Nogueira,Cozinheiro,Casado,Feminino,Braga,Barcelos,22/02/1983,margarida.nogueira@outlook.com,C819
Lorena Branco-Figueiredo,Aposentado,Casado,Feminino,Viana do Castelo,Viana do Castelo,06/07/1960,lorena.branco-figueiredo@sapo.pt,C820
Leandro Coelho,Farmacêutico,Solteiro,Masculino,Viseu,Lamego,07/05/1965,leandro.coelho@yahoo.com,C821
Lia Jesus,Engenheiro,Viúvo,Feminino,Braga,Amares,25/03/1974,lia.jesus@outlook.com,C822
Pedro do Freitas,Carpinteiro,Casado,Masculino,Porto,Felgueiras,26/06/2004,pedro.freitas@sapo.pt,C823
Lorena de Oliveira,Professor,Divorciado,Feminino,Viseu,Carregal do Sal,12/06/1970,lorena.oliveira@hotmail.com,C824
Fabiana Baptista,Médico,Solteiro,Feminino,Braga,Celorico de Basto,10/07/1967,fabiana.baptista@hotmail.com,C825
Miriam Pinto,Eletricista,Viúvo,Feminino,Vila Real,Mesão Frio,20/03/2002,miriam.pinto@hotmail.com,C826
Lourenço do Gomes,Empregado de Limpeza,Divorciado,Masculino,Bragança,Vimioso,09/03/1968,lourenço.gomes@yahoo.com,C827
Núria da Lourenço,Rececionista,Casado,Feminino,Braga,Guimarães,30/08/1983,núria.lourenço@sapo.pt,C828
Carlota do Cruz,Designer Gráfico,Divorciado,Feminino,Braga,Fafe,30/10/1992,carlota.cruz@hotmail.com,C829
Rafaela Vieira,Enfermeiro,Solteiro,Feminino,Bragança,Macedo de Cavaleiros,26/09/1972,rafaela.vieira@gmail.com,C830
Flor Moreira,Rececionista,Divorciado,Feminino,Viana do Castelo,Caminha,24/04/1986,flor.moreira@yahoo.com,C831
Sérgio Nunes,Eletricista,Casado,Masculino,Braga,Barcelos,14/11/1975,sérgio.nunes@yahoo.com,C832
Maria Torres,Cozinheiro,Viúvo,Feminino,Viana do Castelo,Viana do Castelo,10/12/1966,maria.torres@yahoo.com,C833
Mariana Pinho,Engenheiro,Solteiro,Feminino,Braga,Esposende,21/12/1969,mariana.pinho@sapo.pt,C834
Filipe Reis,Analista de Dados,Divorciado,Masculino,Vila Real,Mesão Frio,16/12/1985,filipe.reis@outlook.com,C835
Daniela-Melissa Campos,Eletricista,Solteiro,Feminino,Braga,Guimarães,02/11/2000,daniela-melissa.campos@gmail.com,C836
Ângela Alves-Matias,Psicólogo,Solteiro,Feminino,Braga,Fafe,18/05/1999,ângela.alves-matias@gmail.com,C837
Diogo Faria-Sousa,Arquiteto,Divorciado,Masculino,Santarém,Alcanena,02/11/1981,diogo.faria-sousa@sapo.pt,C838
Tatiana Figueiredo,Enfermeiro,Solteiro,Feminino,Viana do Castelo,Vila Nova de Cerveira,19/02/1977,tatiana.figueiredo@outlook.com,C839
Caetana-Nicole Pereira,Professor,Casado,Feminino,Braga,Barcelos,16/07/1983,caetana-nicole.pereira@outlook.com,C840
Ana Antunes,Contabilista,Viúvo,Feminino,Braga,Amares,21/05/1980,ana.antunes@sapo.pt,C841
Kévim Ribeiro,Enfermeiro,Casado,Masculino,Aveiro,Santa Maria da Feira,31/05/1972,kévim.ribeiro@yahoo.com,C842
Alice do Baptista,Rececionista,Viúvo,Feminino,Aveiro,Águeda,01/04/1997,alice.baptista@hotmail.com,C843
David Fernandes,Comerciante,Casado,Masculino,Viana do Castelo,Vila Nova de Cerveira,16/07/1984,david.fernandes@sapo.pt,C844
